EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,OBJECTID
86626,1728759,REGULAR,ADDIS BAR & GRILL,,109 S 4TH ST,,LOUISVILLE,KY,40202,FOOD SERVICE,2023/01/13 00:00:00,86,C,ADDIS BAR & GRILL,,3375
86627,1679516,REGULAR,CARDS PNC CLUB KITCHEN,,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/06/14 00:00:00,100,A,CARDS PNC CLUB KITCHEN,,3376
86627,1682015,Site Evaluation,CARDS PNC CLUB KITCHEN,,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/06/13 00:00:00,,,CARDS PNC CLUB KITCHEN,,3377
86627,1706758,REGULAR,CARDS PNC CLUB KITCHEN,,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/09/16 00:00:00,100,A,CARDS PNC CLUB KITCHEN,,3378
86628,1680014,REGULAR,CARDS PNC CLUB STAND #45 (SEC E8),,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/06/14 00:00:00,100,A,CARDS PNC CLUB STAND #45 (SEC E8),,3379
86628,1706852,REGULAR,CARDS PNC CLUB STAND #45 (SEC E8),,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/09/16 00:00:00,97,A,CARDS PNC CLUB STAND #45 (SEC E8),,3380
86635,1698084,REGULAR,BLUEGRASS BREWING COMPANY,,300 W MAIN ST,,LOUISVILLE,KY,40202,FOOD SERVICE,2022/08/30 00:00:00,95,A,BLUEGRASS BREWING COMPANY,,3381
86673,1653233,REGULAR,CVS #4779,,2311 LIME KILN LN,,LOUISVILLE,KY,40222,PRE-PACKAGED RETAIL,2022/02/18 00:00:00,98,,CVS #4779,,3382
86673,1728284,REGULAR,CVS #4779,,2311 LIME KILN LN,,LOUISVILLE,KY,40222,PRE-PACKAGED RETAIL,2023/01/11 00:00:00,100,,CVS #4779,,3383
86674,1661957,REGULAR,4 KINGS CAFE,,4642 JENNINGS LN,,LOUISVILLE,KY,40218,FOOD SERVICE,2022/03/30 00:00:00,95,A,4 KINGS CAFE,,3384
86674,1705772,REGULAR,4 KINGS CAFE,,4642 JENNINGS LN,,LOUISVILLE,KY,40218,FOOD SERVICE,2022/10/03 00:00:00,96,A,4 KINGS CAFE,,3385
86677,1679506,REGULAR,CARDS PNC CLUB STAND #51 (SEC 303),,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/06/14 00:00:00,100,A,CARDS PNC CLUB STAND #51 (SEC 303),,3386
86677,1706851,REGULAR,CARDS PNC CLUB STAND #51 (SEC 303),,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/09/16 00:00:00,100,A,CARDS PNC CLUB STAND #51 (SEC 303),,3387
86684,1680198,REGULAR,CARDS PNC CLUB STAND #44 (SEC E4),,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/06/14 00:00:00,100,A,CARDS PNC CLUB STAND #44 (SEC E4),,3388
86684,1706710,REGULAR,CARDS PNC CLUB STAND #44 (SEC E4),,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/09/16 00:00:00,99,A,CARDS PNC CLUB STAND #44 (SEC E4),,3389
86689,1685450,REGULAR,KAYROUZ CAFE,,3801 WILLIS AVE,,LOUISVILLE,KY,40207,FOOD SERVICE,2022/07/11 00:00:00,98,A,KAYROUZ CAFE,,3390
86689,1731751,REGULAR,KAYROUZ CAFE,,3801 WILLIS AVE,,LOUISVILLE,KY,40207,FOOD SERVICE,2023/01/27 00:00:00,98,A,KAYROUZ CAFE,,3391
86716,1669384,REGULAR,BUNGALOW JOES BAR & GRILL,,7813 BEULAH CHURCH RD,,LOUISVILLE,KY,40228,FOOD SERVICE,2022/05/02 00:00:00,98,A,BUNGALOW JOES BAR & GRILL,,3392
86716,1716658,REGULAR,BUNGALOW JOES BAR & GRILL,,7813 BEULAH CHURCH RD,,LOUISVILLE,KY,40228,FOOD SERVICE,2022/11/14 00:00:00,99,A,BUNGALOW JOES BAR & GRILL,,3393
86754,1679507,REGULAR,CARDS FD STAND #53 (SEC 308),,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/06/14 00:00:00,100,A,CARDS FD STAND #53 (SEC 308),,3394
86754,1706714,REGULAR,CARDS FD STAND #53 (SEC 308),,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/09/16 00:00:00,100,A,CARDS FD STAND #53 (SEC 308),,3395
86757,1669924,REGULAR,"AH, WHATTA'BOUT MIMI",,701 W MARKET ST,,LOUISVILLE,KY,40202,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/04/26 00:00:00,100,A,"AH, WHATTA'BOUT MIMI",,3396
86757,1669925,REGULAR,"AH, WHATTA'BOUT MIMI",,701 W MARKET ST,,LOUISVILLE,KY,40202,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/04/26 00:00:00,100,,"AH, WHATTA'BOUT MIMI",,3397
86757,1715475,REGULAR,"AH, WHATTA'BOUT MIMI",,701 W MARKET ST,,LOUISVILLE,KY,40202,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/11/08 00:00:00,100,A,"AH, WHATTA'BOUT MIMI",,3398
86757,1715476,REGULAR,"AH, WHATTA'BOUT MIMI",,701 W MARKET ST,,LOUISVILLE,KY,40202,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/11/08 00:00:00,100,,"AH, WHATTA'BOUT MIMI",,3399
86758,1658054,REGULAR,INDI'S RESTAURANT,,4901 POPLAR LEVEL RD,,LOUISVILLE,KY,40219,FOOD SERVICE,2022/03/11 00:00:00,98,A,INDI'S RESTAURANT,,3400
86758,1704935,REGULAR,INDI'S RESTAURANT,,4901 POPLAR LEVEL RD,,LOUISVILLE,KY,40219,FOOD SERVICE,2022/09/29 00:00:00,93,A,INDI'S RESTAURANT,,3401
86758,1710131,COMPLAINT,INDI'S RESTAURANT,,4901 POPLAR LEVEL RD,,LOUISVILLE,KY,40219,FOOD SERVICE,2022/09/29 00:00:00,,,INDI'S RESTAURANT,,3402
86758,1710132,FOLLOWUP,INDI'S RESTAURANT,,4901 POPLAR LEVEL RD,,LOUISVILLE,KY,40219,FOOD SERVICE,2022/10/06 00:00:00,,,INDI'S RESTAURANT,,3403
86762,1680015,REGULAR,CARDS PNC CLUB STAND #52 (SEC 304),,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/06/14 00:00:00,100,A,CARDS PNC CLUB STAND #52 (SEC 304),,3404
86762,1706751,REGULAR,CARDS PNC CLUB STAND #52 (SEC 304),,2800 S FLOYD ST,,LOUISVILLE,KY,40209,FOOD SERVICE,2022/09/16 00:00:00,99,A,CARDS PNC CLUB STAND #52 (SEC 304),,3405
86901,1657129,REGULAR,DURAMART,,1480 S 7TH ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/03/08 00:00:00,96,A,DURAMART,,3406
86901,1657130,REGULAR,DURAMART,,1480 S 7TH ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/03/08 00:00:00,98,,DURAMART,,3407
86901,1700110,REGULAR,DURAMART,,1480 S 7TH ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/09/08 00:00:00,97,A,DURAMART,,3408
86901,1700111,REGULAR,DURAMART,,1480 S 7TH ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/09/08 00:00:00,94,,DURAMART,,3409
86901,1732075,REGULAR,DURAMART,,1480 S 7TH ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023/01/30 00:00:00,98,A,DURAMART,,3410
